Tier,Event Name,VP,Requirements,Reward,Flavor Text
Tier 1,Tug of War,3,3x Super-Dupes,Take 3 Shinies from The Bank.,"Pull hard, dig in, and pretend the rope isn’t actively trying to remove your paws."
Tier 1,Drag Race,3,3x Tinkerers,Draft Lineup Slot 2 and take any Shinies on it for free.,Brakes are optional. Ethics are flexible. Speed is mandatory.
Tier 1,Easter Egg Hunt,3,3x Finders-Keepers,Draw 2 from Recruit Deck. Keep 1. Place other on bottom.,The orange ones hide behind the tire swing. Trust me. I called dibs in advance.
Tier 1,Guessing Booth,3,3x Prognosticationers,Look at top 5 of Recruit Deck. Take 1. Put the rest back in any order.,I knew you'd pick the blue shell. I also knew you'd regret it.
Tier 1,Shell Game,3,3x Magicians,Choose one opponent: Take 1 Shiny or 1 random card from their hand.,The pebble isn't under any cup. The pebble is in my pocket. The cups are a metaphor.
Tier 1,Red Light Green Light,3,3x Time Travelers,Perform one free Scramble.,I wasn’t moving. I was rewinding my position to three seconds ago. The judge can’t prove anything.
Tier 2,Rivalry Week,4,2 cards: Same faction + consecutive ranks (e.g. Super-Dupes-4 + Super-Dupes-5),Choose one opponent: Take 1 Shiny from them.,We trained for this all season. They brought oranges. We brought intensity. And more oranges.
Tier 2,Wheelbarrow Race,5,2x Super-Dupes + 1x Tinkerer. Sum ≥ 12.,Choose one opponent: Take 2 Shinies from them.,One provides the muscle. One provides the wheels. Physics provides the humiliation.
Tier 2,Scavenger Hunt,5,2x Finders-Keepers + 1x Prognosticationer. Sum ≥ 12.,Choose one opponent: Take 1 random card from their hand.,I predict the ribbon is in the flower pot. I also predict it will look better in my trophy case.
Tier 2,Capture the Flag,5,2x Magicians + 1x Finders-Keepers. Sum ≥ 12.,Perform one free Scramble.,The Magician distracts the goalie with a card trick. The Finder grabs the flag. It's not cheating; it's strategic misdirection.
Tier 2,Obstacle Course,6,2x Tinkerers + 1x Magician. Sum ≥ 12.,Choose one opponent: They discard 1 card of their choice from their hand to The Stands.,We mapped the tire swing trajectory. We calculated the mud viscosity. Mistakes were made.
Tier 2,Hide and Seek,6,2x Prognosticationers + 1x Time Traveler. Sum ≥ 12.,Look through top 5 cards in The Stands. Take 1 card into hand.,The best hiding spot is inside the snack cupboard. No one looks there because they assume it's already empty.
Tier 3,Substitution,5,3 cards: 3-of-a-kind (same number),Swap 1 card from your hand with 1 card in any Lineup slot. Slide and refill.,Coach’s orders. You’re benched. No hard feelings—just loud feelings and interpretive huffing.
Tier 3,Convoy,6,3-card Run (consecutive ranks. 0-1-2 and 8-9-10 valid),Perform one free Scramble.,"Left, right, left! Stop stepping on my tail! Maintain formation!"
Tier 3,Photo Finish,6,3 cards: Sum exactly 15,Take 2 Shinies from The Bank.,Timing is everything. Speed is nothing. Precision wins the race.
Tier 3,Synchronized Swimming,7,"2 Pairs of numbers (e.g. two 4s and two 7s, 4 cards total)",Choose one opponent: Take 1 Shiny from them.,"Nose clips on. Kick! Splash! Smile! If one of us sinks, we all sink. That is the pact."
Tier 3,Opening Ceremony,7,4 cards showing 4 different faction symbols,Look through top 5 cards in The Stands. Take 1 card into hand.,Just wave at the crowd. Try to look like you practiced. Do not eat the confetti.
Tier 3,Limbo Contest,8,4 cards with Sum ≤ 8,Draft Lineup Slot 2 and take any Shinies on it for free.,"We have flattened ourselves like pancakes. The bar is a suggestion, not a limit."
Tier 4,King of the Hill,8,3x Super-Dupes + 2 Free Agents. Sum ≥ 22.,Take 4 Shinies from The Bank.,I have claimed the summit of Mount Sofa. The Cushions are my ramparts. None shall pass.
Tier 4,Great Scavenge,8,3x Finders-Keepers + 2 Free Agents. Sum ≥ 22.,Look through top 5 cards in The Recruit Deck. Take 2 cards in hand and discard the others.,We called dibs on the entire playground. You can have the swings tomorrow. Maybe.
Tier 4,Soapbox Derby,9,3x Tinkerers + 2 Free Agents. Sum ≥ 22.,Draft Lineup Slot 2 and take any Shinies on it for free.,It's a toaster on skateboard wheels. It has no brakes. It is glorious.
Tier 4,Disappearing Act,9,3x Magicians + 2 Free Agents. Sum ≥ 22.,Choose one opponent: Take 1 random card from their hand. Give them 1 card from your hand (your choice). ,"For my next trick, the opposing team will vanish! And by vanish, I mean 'get distracted by a shiny object.'"
Tier 4,Time Capsule,9,3x Time Travelers + 2 Free Agents. Sum ≥ 22.,Look through top 5 cards in The Stands. Take up to 2 cards into hand.,We are burying this bone for future generations. Or for next Tuesday. Whenever we get hungry.
Tier 4,Strategy Meeting,10,3x Prognosticationers + 2 Free Agents. Sum ≥ 22.,Draw top 3 of Recruit Deck. Keep 1. Discard 2 to The Stands.,The chalkboard is full of diagrams. The plan is perfect. Who drew a cat on the map?
Tier 5,Trophy Case,9,4x Finders-Keepers. Sum ≥ 22. Max 1 Free Agent.,Each opponent either discards 1 card of their choice to The Stands or pays you 1 Shiny.,We need a bigger shelf. And more polish. This collection is getting heavy.
Tier 5,Shield Wall,10,4x Super-Dupes. Sum ≥ 22. Max 1 Free Agent.,Choose an opponent. They either pay you 1 Shiny or give you 1 card of their choice from their hand.,Link paws. Hold the line. The cookie jar will be defended.
Tier 5,Fantasy League,10,4x Prognosticationers. Sum ≥ 22. Max 1 Free Agent.,"Draw 2 Playbooks. Keep 1. Put other on bottom. (If no Playbooks: draw 2 from Recruit Deck. Keep 1, discard other to The Stands.)",My bracket is perfect. I predicted the underdog would trip. It was statistically inevitable.
Tier 5,Instant Replay,10,4x Time Travelers. Sum ≥ 22. Max 1 Free Agent.,Look through top 5 cards in The Stands. Take up to 2 cards into hand.,Did he cross the line? Let's rewind the tape. Frame by frame. See? He was definitely napping.
Tier 5,Pit Stop,11,4x Tinkerers. Sum ≥ 22. Max 1 Free Agent.,Choose one: Perform Free Scramble or Draft card from Slot 1 and take any Shinies on it.,Pit crew! Tires! Fuel! Snacks! Faster! FASTER! We lost 0.003 seconds to a banana peel and I took that personally.
Tier 5,Halftime Show,11,4x Magicians. Sum ≥ 22. Max 1 Free Agent.,Choose one opponent: Look at 1 Playbook in their hand. Return it. (If no Playbooks: look at their entire hand.),"The game is the opener. The real show begins when the pyrotechnics— I mean, sparkles—go off."
Tier 5,The Final Limbo,13,5 cards with Sum ≤ 8,Draft any Lineup card for free. Take up to 2 Shinies from that card. Return any extra Shinies on it to the Bank.,The bar is underground now. Physics has left the building.
Tier 6,Marathon,12,5-card Run (consecutive ranks),"Take one additional full turn immediately after this turn ends. On that extra turn, you may not Complete an Event.","The ref blew the whistle, but we're still running! The game isn't over until we say it's over!"
Tier 6,Sprinkler Ambush,12,3 cards of number 0 (any factions),Draft Lineup Slots 2 & 3 and take any Shinies from those cards for free. Slide and refill.,The timer clicked! The ground is erupting! Abandon the field! Save the snacks!
Tier 6,Secret Playbook,12,4x Free Agents (any mix of 0 and/or 10),Look at top 5 of Recruit Deck. Keep 2. Put other 3 on bottom in any order.,It's not 'cheating.' It's 'advanced scouting.' We know their plays before they do.
Tier 6,Sudden Death,12,3 cards from 3 different factions. Sum exactly 11.,If any opponent has more VP than you: choose one of them; they discard 2 cards from their hand to The Stands. Otherwise: take 2 Shinies from the Bank.,The clock hit zero. The crowd held its breath. Then someone sneezed and everything happened at once.
Tier 6,New Rules!,15,4 cards with the same number (any factions),Discard all Lineup/Jumbotron cards to bottom of their decks and refill. All Shinies from discarded Lineup cards go to new recruit in Slot 4.,"We’re doing a full reset. Fresh lineup, fresh events, fresh lies about ‘having a plan.’”"
Tier 6,Group Photo,16,One card showing each of the six faction symbols (6 cards total),None.,"Okay, everyone squeeze in. Tall monsters in the back. Stop making faces. This is for posterity."
